full ID,dam,sire
C00-01,0,0
C00-02,0,0
C00-03,0,0
C00-04,0,0
C00-05,0,0
C00-06,0,0
C00-07,0,0
C00-08,0,0
C00-09,0,0
C00-10,0,0
C00-11,0,0
C00-12,0,0
C00-13,0,0
C00-14,0,0
C00-15,0,0
C00-16,0,0
C00-17,0,0
C00-18,0,0
C00-19,0,0
C00-20,0,0
C01-0102-,C00-01,C00-02
C01-0103-,C00-01,C00-03
C01-0104-,C00-01,C00-04
C01-0105~,C00-01,C00-05
C01-0201-,C00-02,C00-01
C01-0203-,C00-02,C00-03
C01-0204-,C00-02,C00-04
C01-0205-,C00-02,C00-05
C01-0301-,C00-03,C00-01
C01-0302-,C00-03,C00-02
C01-0304-,C00-03,C00-04
C01-0305-,C00-03,C00-05
C01-0401-,C00-04,C00-01
C01-0402-,C00-04,C00-02
C01-0403-,C00-04,C00-03
C01-0405,C00-04,C00-05
C01-0501-,C00-05,C00-01
C01-0502~,C00-05,C00-02
C01-0503-,C00-05,C00-03
C01-0504-,C00-05,C00-04
C01-0607-,C00-06,C00-07
C01-0620,C00-06,C00-20
C01-0706-,C00-07,C00-06
C01-0708-,C00-07,C00-08
C01-0807-,C00-08,C00-07
C01-0809~,C00-08,C00-09
C01-0908-,C00-09,C00-08
C01-0910-,C00-09,C00-10
C01-1009-,C00-10,C00-09
C01-1011~,C00-10,C00-11
C01-1110-,C00-11,C00-10
C01-1112-,C00-11,C00-12
C01-1211-,C00-12,C00-11
C01-1213-,C00-12,C00-13
C01-1312~,C00-13,C00-12
C01-1314-,C00-13,C00-14
C01-1413,C00-14,C00-13
C01-1415-,C00-14,C00-15
C01-1514-,C00-15,C00-14
C01-1516~,C00-15,C00-16
C01-1615-,C00-16,C00-15
C01-1617~,C00-16,C00-17
C01-1716~,C00-17,C00-16
C01-1718~,C00-17,C00-18
C01-1817-,C00-18,C00-17
C01-1819~,C00-18,C00-19
C01-1918,C00-19,C00-18
C01-1920-,C00-19,C00-20
C01-2006~,C00-20,C00-06
C01-2019,C00-20,C00-19
C02-0102-,C01-0301-,C01-0504-
C02-0103-,C01-0301-,C01-0708-
C02-0104-,C01-0301-,C01-0405
C02-0105-,C01-0301-,C01-2006~
C02-0201-,C01-0504-,C01-0301-
C02-0203-,C01-0504-,C01-0708-
C02-0204-,C01-0504-,C01-0405
C02-0205-,C01-0504-,C01-2006~
C02-0301-,C01-0708-,C01-0301-
C02-0302-,C01-0708-,C01-0504-
C02-0304~,C01-0708-,C01-0405
C02-0305~,C01-0708-,C01-2006~
C02-0401-,C01-0405,C01-0301-
C02-0402-,C01-0405,C01-0504-
C02-0403-,C01-0405,C01-0708-
C02-0405-,C01-0405,C01-2006~
C02-0501-,C01-2006~,C01-0301-
C02-0502-,C01-2006~,C01-0504-
C02-0503-,C01-2006~,C01-0708-
C02-0504-,C01-2006~,C01-0405
C02-0607~,C01-0201-,C01-0809~
C02-0620-,C01-0201-,C01-0302-
C02-0706-,C01-0809~,C01-0201-
C02-0708-,C01-0809~,C01-1516~
C02-0807-,C01-1516~,C01-0809~
C02-0809-,C01-1516~,C01-1615-
C02-0908-,C01-1615-,C01-1516~
C02-0910-,C01-1615-,C01-0105~
C02-1009-,C01-0105~,C01-1615-
C02-1011-,C01-0105~,C01-1213-
C02-1110-,C01-1213-,C01-0105~
C02-1112-,C01-1213-,C01-1110-
C02-1211-,C01-1110-,C01-1213-
C02-1213-,C01-1110-,C01-0910-
C02-1312-,C01-0910-,C01-1110-
C02-1314~,C01-0910-,C01-0401-
C02-1413-,C01-0401-,C01-0910-
C02-1415-,C01-0401-,C01-1817-
